Sphere,Line,Keynote
LifesWork,1,Creator
LifesWork,2,Dancer
LifesWork,3,Changer
LifesWork,4,Server
LifesWork,5,Fixer
LifesWork,6,Teacher
Evolution,1,Self & Empowerment
Evolution,2,Passion & Relationships
Evolution,3,Energy & Experience
Evolution,4,Love & Community
Evolution,5,Power & Projection
Evolution,6,Education & Surrender
Radiance,1,Solitude
Radiance,2,Marriage
Radiance,3,Interaction
Radiance,4,Friendship
Radiance,5,Impact
Radiance,6,Nurture
Purpose,1,The Anchor
Purpose,2,The Natural
Purpose,3,The Adventurer
Purpose,4,The Nurturer
Purpose,5,The Leader
Purpose,6,The Visionary
Attraction,1,Fertility
Attraction,2,Passion
Attraction,3,Playfulness
Attraction,4,Romance
Attraction,5,Sensuality
Attraction,6,Innocence
IQ,1,The Contemplative Mind
IQ,2,The Brilliant Mind
IQ,3,The Flexible Mind
IQ,4,The Influential Mind
IQ,5,The Practical Mind
IQ,6,The Objective Mind
EQ,1,Self-esteem
EQ,2,Courtesy
EQ,3,Sympathy
EQ,4,Kindness
EQ,5,Respect
EQ,6,Reverence
SQ,1,Honesty
SQ,2,Ease
SQ,3,Humour
SQ,4,Gentleness
SQ,5,Forgiveness
SQ,6,Care
Vocation,1,Production
Vocation,2,Marketing
Vocation,3,Strategy
Vocation,4,Sales
Vocation,5,Management
Vocation,6,Philanthropy
Culture,1,Individual
Culture,2,Partnership
Culture,3,Unit
Culture,4,Network
Culture,5,Society
Culture,6,System
Pearl,1,Simplicity
Pearl,2,Recognition
Pearl,3,Celebration
Pearl,4,Charity
Pearl,5,Power
Pearl,6,Nature
