Number,Ordinal,Bits,Level,Angle,Inside,
'1',63,111111,0,180,0,
'44',62,111110,1,210,0,
'13',61,111101,1,270,0,
'10',59,111011,1,330,0,
'9',55,110111,1,30,0,
'14',47,101111,1,90,0,
'43',31,011111,1,150,0,
'38',43,101011,2,30,0,
'26',39,100111,2,60,0,
'5',23,010111,2,90,0,
'34',15,001111,2,120,0,
'50',46,101110,2,150,0,
'28',30,011110,2,180,0,
'49',29,011101,2,210,0,
'33',60,111100,2,240,0,
'6',58,111010,2,270,0,
'25',57,111001,2,300,0,
'37',53,110101,2,330,0,
'61',51,110011,2,0,0,
'57',54,110110,2,60,TRUE,
'30',45,101101,2,180,TRUE,
'58',27,011011,2,300,TRUE,
'41',35,100011,3,30,0,
'22',37,100101,3,45,0,
'18',38,100110,3,75,0,
'11',7,000111,3,90,0,
'54',11,001011,3,105,0,
'55',13,001101,3,135,0,
'32',14,001110,3,150,0,
'48',22,010110,3,165,0,
'47',26,011010,3,195,0,
'31',28,011100,3,210,0,
'56',44,101100,3,225,0,
'53',52,110100,3,255,0,
'12',56,111000,3,270,0,
'17',25,011001,3,285,0,
'21',41,101001,3,315,0,
'42',49,110001,3,330,0,
'59',50,110010,3,345,0,
'60',19,010011,3,15,0,
'64',42,101010,3,210,TRUE,
'63',21,010101,3,30,TRUE,
'52',36,100100,4,120,TRUE,
'29',18,010010,4,0,TRUE,
'51',9,001001,4,240,TRUE,
'27',33,100001,4,0,0,
'3',17,010001,4,330,0,
'20',48,110000,4,300,0,
'35',40,101000,4,270,0,
'45',24,011000,4,240,0,
'39',20,010100,4,210,0,
'62',12,001100,4,180,0,
'40',10,001010,4,150,0,
'46',6,000110,4,120,0,
'36',5,000101,4,90,0,
'19',3,000011,4,60,0,
'4',34,100010,4,30,0,
'23',32,100000,5,330,0,
'8',16,010000,5,270,0,
'16',8,001000,5,210,0,
'15',4,000100,5,150,0,
'7',2,000010,5,90,0,
'24',1,000001,5,30,0,
'2',0,000000,6,0,0,
